Date,Open,High,Low,Close,Volume,Adj Close
2005-08-15,46.48,48.33,45.75,45.83,21022800,44.87
2005-08-08,43.00,46.22,42.61,46.10,15044200,45.13
2005-08-01,42.57,43.50,42.02,42.99,9862000,42.09
2005-07-25,43.99,44.38,42.26,42.65,11859700,41.75
2005-07-18,41.41,44.04,41.07,44.00,17258000,43.07
2005-07-11,38.37,42.01,37.78,41.55,30317100,40.68
2005-07-05,36.55,38.28,36.50,38.25,13601300,37.45
2005-06-27,36.84,38.10,36.12,36.50,14765800,35.73
2005-06-20,37.85,39.78,37.38,37.76,15743800,36.97
2005-06-13,35.89,38.54,35.75,38.31,17791100,37.50
2005-06-06,38.33,38.63,35.52,35.81,21645900,35.06
2005-05-31,40.66,40.76,37.77,38.24,19543400,37.44
2005-05-23,37.85,40.94,37.85,40.56,20525500,39.71
2005-05-16,34.56,37.68,34.53,37.55,21036900,36.76
2005-05-09,37.28,37.45,33.11,34.77,32220600,34.04
2005-05-02,36.21,37.33,36.02,37.24,15174600,36.46
2005-04-25,36.49,37.51,35.22,36.06,24411300,35.30
2005-04-18,35.00,37.74,34.00,35.50,35376200,34.75
2005-04-11,44.15,44.25,35.28,35.35,54685300,34.61
2005-04-04,40.99,44.45,40.16,43.74,19342900,42.82
2005-03-28,42.75,42.96,40.57,40.89,17208100,40.03
2005-03-21,43.29,43.97,42.02,42.50,18348800,41.61
2005-03-14,40.52,43.44,39.52,42.96,25384800,42.06
2005-03-07,42.80,43.25,38.83,40.27,30032000,39.42
2005-02-28,44.68,45.14,41.22,42.81,26758800,41.91
2005-02-22,86.30,89.91,85.29,88.99,44634000,43.56
2005-02-14,82.73,90.88,82.05,86.81,56461800,42.49
2005-02-07,78.93,81.99,76.66,81.21,35000000,39.75
2005-01-31,74.58,79.91,74.51,78.84,33391100,38.59
2005-01-24,70.98,73.98,70.55,73.98,27487100,36.21
2005-01-18,69.85,71.60,67.75,70.49,32005400,34.50
2005-01-10,69.83,74.42,63.30,70.20,79943500,34.36
2005-01-03,64.78,69.63,62.60,69.25,38587400,33.90
2004-12-27,64.80,65.15,62.05,64.40,16033800,31.52
2004-12-20,65.47,66.00,61.60,64.01,27181200,31.33
2004-12-13,65.62,67.50,64.60,64.99,22276600,31.81
